FCLTY_NM,KEYWORDS,ST_ADDRESS,LOCALITY,MAIL_ADD,POSTAL_CD,WEBSITE,IMAGE_URL,LATITUDE,LONGITUDE,CONT_PHONE,CONT_FAX,ADDRESS,DT_UPDATE,GEOCD_IND,SRCDATA_ID,CUST_ORG,BUS_CAT_CL,BUS_CAT_DS,OCCPNT_TYP,SHAPE,SEQ_ID,X,Y
Castlegar Community Harvest Food Bank,Food; Food Bank,614 Christina Pl,Castlegar,C/O 301 - 32nd Street,V1N 3S6,,,49.3097038,-117.6591596,250-608-2227,,"614 Christina Pl, Castlegar, BC",20180601223150,,180,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,180,1605641.4420000005,512760.3329999987
Prince Rupert Salvation Army Family Services,Food; Food Bank,,Prince Rupert,25 Grenville Court,V8J 1R3,,,54.3105046,-130.3263202,250-624-6325,250-624-8157,"Prince Rupert, BC",20180601223150,,160,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,160,719359.8549999999,1042844.8290000008
St. Mark's Food Bank,Food; Food Bank,,Dawson Creek,1029 103 Avenue,V1G 2G6,,,55.757946,-120.231682,250-782-2939,,"Dawson Creek, BC",20180601223150,,179,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,179,1360848.3359999997,1210542.4270000001
Richmond Food Bank Society,Food; Food Bank,,Richmond,100-5800 Cedarbridge Way,V6X 2A7,http://richmondfoodbank.org/,,49.173007999999996,-123.142021,604-271-5609,,"Richmond, BC",20180601223150,,163,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,163,1208559.7349999994,466062.5080000032
Surrey Food Bank,Food; Food Bank,10732 City Parkway,Surrey,10732 City Parkway,V3T 4C7,https://www.surreyfoodbank.org/,,49.1978135,-122.848643,604-581-5443,,"10732 City Parkway, Surrey, BC",20180601223150,,144,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,144,1229832.7389999996,469724.2979999967
Tansi Friendship Centre,Food; Food Bank,5301 South Access Road,Chetwynd,P.O. Box 418,V0C 1J0,,,55.695904,-121.635384,250-788-2996,250-788-2353,"5301 South Access Road, Chetwynd, BC",20180601223150,,133,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,133,1273592.9379999987,1197344.722
Cowichan Valley Basket Society,Food; Food Bank,5810 Garden St,Duncan,5810 Garden St,V9L 3V9,https://www.cvbs.ca/,,48.7817,-123.705765,250-746-1566,,"5810 Garden St, Duncan, BC",20180601223150,,140,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,140,1168845.1510000012,421128.42599999625
Cawston - Keremeos Food Bank,Food; Food Bank,2334 Newton Road,Cawston,"C/O 2469 South Main Street, Penticton",V2A 5J1,,,49.1938653,-119.7753457,250-492-4788,,"2334 Newton Road, Cawston, BC",20180601223150,,147,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,147,1453576.0209999997,484123.30699999817
Nelson Salvation Army Family Services,Food; Food Bank,601 Vernon St,Nelson,PO Box 329,V1L 4E9,,,49.493412,-117.293404,250-352-3488,,"601 Vernon St, Nelson, BC",20180601223150,,141,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,141,1629563.6570000006,536219.923999995
100 Mile House Food Bank,Food; Food Bank,,100 Mile House,5693 Horse Lake Road,V0K 2E1,,,51.6162493,-121.2442164,250-395-3923,250-397-2579,"100 Mile House, BC",20180601223150,,149,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,149,1328633.0700000008,744778.1169999978
Greater Vancouver Food Bank Society,Food; Food Bank,,Vancouver,1150 Raymur Ave,V6A 3T2,https://www.foodbank.bc.ca/,,49.27467,-123.08242,604-876-3601,604-876-7323,"Vancouver, BC",20180601223150,,165,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,165,1212441.2709999993,477525.5299999984
Agassiz-Harrison Food Bank,Food; Food Bank,#5 - 7086 Cheam Ave,Agassiz,P.O. Box 564,V0M 1A0,http://agassiz-harrisoncs.ca/services/emergency-food-bank,,49.238419,-121.763626,604-796-2585,604-796-2517,"#5 - 7086 Cheam Ave, Agassiz, BC",20180601223150,,191,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,191,1308612.3149999992,478356.15800000075
Friends in Need Food Bank,Food; Food Bank,,Maple Ridge,#8 - 22726 Dewdney Trunk Rd,V2X 8K9,http://www.friendsneedfood.com/contact-information.html,,49.220431999999995,-122.591156,604-466-3663,604-463-1736,"Maple Ridge, BC",20180601223150,,192,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,192,1248476.6860000014,473104.44900000095
Kitimat Food Bank Society,Food; Food Bank,230 City Centre,Kitimat,PO Box 20,V8C 2G6,,,54.0536915,-128.65388,250-632-6611,,"230 City Centre, Kitimat, BC",20180601223150,,103,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,103,826706.6939999984,1008851.6669999966
Eagle Valley Community Food Bank,Food; Food Bank,1214 Shuswap Ave,Sicamous,PO Box 777,V0E 2V0,https://www.sites.google.com/site/sicamousresourcectr/Home/about-us/contact-us,,50.8359569,-118.98614,250-836-3440,250-836-3414,"1214 Shuswap Ave, Sicamous, BC",20180601223150,,159,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,159,1492839.3359999992,671251.0869999975
Hornby Island Food Bank,Food; Food Bank,,Hornby Island,C\/O Hornby Island Education Society - 3130 Cannon Road,V0R 1Z0,https://hornbyeducation.com/2015/12/10/hornby-island-food-bank/,,49.5350577,-124.6684838,250-335-1629,250-335-2006,"Hornby Island, BC",20180601223150,,158,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,158,1096430.7630000007,502992.3999999948
Fort St John Salvation Army Family Services,Food; Food Bank,10116 - 100th Ave,Fort St John,PO Box 6635,V1J 4J1,,,56.246531999999995,-120.849876,250-785-0506,250-785-0507,"10116 - 100th Ave, Fort St John, BC",20180601223150,,166,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,166,1318284.8409999986,1261944.9120000117
Sidney Lions Food Bank,Food; Food Bank,,Sidney,9586 5th Street,V8L 3S8,http://sidneylionsfoodbank.com/,,48.6437022,-123.4007922,250-655-0679,250-655-1130,"Sidney, BC",20180601223150,,181,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,181,1191842.6170000008,406594.51399999857
Abbotsford Food Bank,Food; Food Bank,,Abbotsford,33914 Essendene Avenue,V2S 3H8,https://www.abbotsfordfoodbank.com/,,49.0486169,-122.285428,604-859-5749,604-859-2717,"Abbotsford, BC",20180601223150,,189,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,189,1271743.1970000002,455164.9220000012
Clearwater & District Food Bank,Food; Food Bank,,Clearwater,742b Clearwater Village Rd,V0E 1N1,,,51.646736,-120.012138,250-674-3402,250-674-3402,"Clearwater, BC",20180601223150,,193,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,193,1413302.664,754622.4460000005
Pemberton SSCS Foodbank,Food; Food Bank,1357 Aster Street,Pemberton,Box 656,V0N 2L0,,,50.3215628,-122.8099699,604-698-5521,604-894-6333,"1357 Aster Street, Pemberton, BC",20180601223150,,154,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,154,1227022.6769999997,594674.6460000006
Chemainus Harvest House,Food; Food Bank,9814 Willow Street (Bsmt),Chemainus,P.O. Box 188,V0R 1K0,http://chemainusharvesthouse.com/,,48.923851,-123.718826,250-246-3455,250-246-9060,"9814 Willow Street (Bsmt), Chemainus, BC",20180601223150,,185,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,185,1167375.7050000005,436873.76399999764
People for a Healthy Community Food Bank,Food; Food Bank,675 North Road,Gabriola Island,P.O. Box 325,V0R 1X0,http://www.phcgabriola.org/,,49.1738277,-123.8398301,250-247-7322,250-247-7311,"675 North Road, Gabriola Island, BC",20180601223150,,169,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,169,1157653.0110000006,464348.5880000014
Vanderhoof Neighbourlink Food Bank,Food; Food Bank,121 Stewart Street West,Vanderhoof,PO Box 2353,V0J 3A0,,,54.0160977,-124.0097386,250-567-9007,,"121 Stewart Street West, Vanderhoof, BC",20180601223150,,195,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,195,1130091.5440000007,1003236.077999996
Penticton Salvation Army Community Food Bank,Food; Food Bank,,Penticton,2399 South Main St,V2A 5J1,,,49.471748,-119.58184800000001,250-492-4788,250-492-8813,"Penticton, BC",20180601223150,,135,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,135,1464841.9210000006,516134.79099999927
Salmo Food Bank,Food; Food Bank,311 Railway Avenue,Salmo,P.O. Box 39,V0G 1Z0,https://scrs.ca/food-security/,,49.195629,-117.278488,250-357-2277,250-357-2385,"311 Railway Avenue, Salmo, BC",20180601223150,,136,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,136,1634703.2789999987,503512.2219999973
White Rock - South Surrey Food Bank,Food; Food Bank,2343 156 Street,Surrey,2343 156 Street,V4A 4V5,https://www.sourcesbc.ca/our-services/sources-white-rock-south-surrey-food-bank/,,49.04454,-122.790604,604-531-8168,,"2343 156 Street, Surrey, BC",20180601223150,,145,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,145,1234834.387000001,452905.12699999847
Stuart Lake Outreach Group Society,Food; Food Bank,"271 Stuart Drive, West",Fort St James,PO Box 1144,V0J 1P0,,,54.442524,-124.25370000000001,250-567-6744,,"271 Stuart Drive, West, Fort St James, BC",20180601223150,,194,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,194,1112974.734999999,1050395.9980000034
Lumby Food Bank,Food; Food Bank,,Lumby,PO Box 791,V0E 2G0,,,50.248582,-118.9636159,250-547-2225,,"Lumby, BC",20180601223150,,119,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,119,1500904.4409999996,606352.4149999982
Bulkley Valley Food Bank -Salvation Army,Food; Food Bank,1065 Main St,Smithers,Box 4293,V0J 1Z0,,,54.778911,-127.1742024,250-847-1501,,"1065 Main St, Smithers, BC",20180601223150,,121,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,121,924654.9680000005,1087175.5859999983
Peachland Food Bank,Food; Food Bank,4440 5th St,Peachland,4440 5th St,V0H 1X0,,,49.7758898,-119.7353633,250-767-3312,250-767-3488,"4440 5th St, Peachland, BC",20180601223150,,142,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,142,1450764.5749999988,548818.1850000024
Williams Lake Salvation Army,Food; Food Bank,,Williams Lake,267 Borland St,V2G 1R4,,,52.129844999999996,-122.143097,250-392-2423,250-392-6467,"Williams Lake, BC",20180601223150,,139,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,139,1263470.0690000008,798161.183000002
Lillooet Food Bank,Food; Food Bank,357 Main St,Lillooet,PO Box 2170,V0K 1V0,,,50.700188,-121.926132,250-256-4400,250-256-7928,"357 Main St, Lillooet, BC",20180601223150,,115,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,115,1287436.4529999995,639973.3429999985
Arrow & Slocan Lakes Community Services,Food; Food Bank,,Nakusp,Box 100,V0G 1R0,http://aslcs.com/,,50.2419031,-117.8045009,250-265-3674,250-265-3378,"Nakusp, BC",20180601223150,,112,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,112,1583162.3519999986,614488.7850000067
Kaslo North Kootenay Lake Food Cupboard,Food; Food Bank,500 4th St.,Kaslo,PO Box 546,V0G 1M0,http://www.nklcss.org/home/location/kaslo-food-hub,,49.910064,-116.9045548,250-353-7120,250-535-7694,"500 4th St., Kaslo, BC",20180601223150,,146,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,146,1651593.8280000002,585697.6769999973
Vernon Food Bank,Food; Food Bank,3303 32 Ave,Vernon,3303 - 32 Ave,V1T 2M7,https://vernonhouseofhope.com/food-bank,,50.26548,-119.275284,250-549-4111,,"3303 32 Ave, Vernon, BC",20180601223150,,199,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,199,1478607.4800000007,606067.5280000055
Chase Hamper Society,Food; Food Bank,547 Shuswap Avenue,Chase,Box 137,V0E 1M0,,,50.818740999999996,-119.6905545,250-682-6155,,"547 Shuswap Avenue, Chase, BC",20180601223150,,152,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,152,1443651.7009999994,664683.3370000012
Nicola Valley & District Food Bank,Food; Food Bank,2026 Quilchena Ave,Merritt,PO Box 2719,V1K 1B8,,,50.110065,-120.78891,250-378-2282,,"2026 Quilchena Ave, Merritt, BC",20180601223150,,132,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,132,1372375.2679999988,579739.0540000033
Hope Food Bank,Food; Food Bank,434 Wallace St,Hope,P.O. Box 74,V0X 1L0,,,49.380505,-121.438927,604-869-2466,604-869-3317,"434 Wallace St, Hope, BC",20180601223150,,187,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,187,1331217.9449999998,495581.6360000018
Kamloops Food Bank & Outreach Society,Food; Food Bank,171 Wilson St,Kamloops,P.O. Box 1513,V2C 6L8,kamloopsfoodbank.org,,50.6867179,-120.3523016,250-376-2252,250-376-0052,"171 Wilson St, Kamloops, BC",20180601223150,,110,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,110,1398396.605000001,646101.175999999
Salmon Arm Salvation Army Food Bank,Food; Food Bank,191 2nd Ave Ne,Salmon Arm,PO Box 505,V1E 4N6,,,50.7002472,-119.28147799999999,250-832-9194,250-832-9148,"191 2nd Ave Ne, Salmon Arm, BC",20180601223150,,198,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,198,1473582.505000001,654196.7130000005
Prince George Salvation Army Family Services,Food; Food Bank,777 Ospika Blvd S,Prince George,777 Ospika Blvd S,V2N 1A9,,,53.917831,-122.795387,250-564-4000,250-561-1658,"777 Ospika Blvd S, Prince George, BC",20180601223150,,196,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,196,1209918.8319999997,995192.1789999995
Terrace Churches Food Bank,Food; Food Bank,Unit B - 4643 Park Avenue,Terrace,PO Box 603,V8G 4B8,,,54.518314,-128.589752,250-635-9670,,"Unit B - 4643 Park Avenue, Terrace, BC",20180601223150,,100,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,100,832788.9600000007,1060521.0349999992
Lake Country Food Assistance Society,Food; Food Bank,9830-C Bottom Wood Lake Road,Lake Country,P.O. Box 41013 Rpos,V4V 1Z7,,,50.0251893,-119.4005524,250-766-0125,,"9830-C Bottom Wood Lake Road, Lake Country, BC",20180601223150,,148,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,148,1472206.5199999996,578612.1019999962
Squamish Food Bank,Food; Food Bank,39650 Government Road,Squamish,PO Box 207,V0N 1T0,http://hswc.ca/food-bank/,,49.7271335,-123.1572262,604-815-4054,,"39650 Government Road, Squamish, BC",20180601223150,,107,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,107,1204978.2689999994,527555.1569999997
Mustard Seed Food Bank,Food; Food Bank,625 Queens Ave,Victoria,625 Queens Ave,V8T 1L9,https://mustardseed.ca/ministries/food-bank/,,48.434155,-123.366035,250-953-1575,250-385-0430,"625 Queens Ave, Victoria, BC",20180601223150,,184,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,184,1195271.91,383449.02499999385
Barriere and District Food Bank,Food; Food Bank,"4761 Gilbert Dr,",Barriere,PO Box 465,V0E 1E0,,,51.1838226,-120.143013,250-672-0029,,"4761 Gilbert Dr,, Barriere, BC",20180601223150,,114,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,114,1408552.3150000004,702467.7709999941
Golden Food Bank,Food; Food Bank,#102 1115 9th Street S,Golden,P.O. Box 1047,V0A 1H0,https://www.goldenfoodbank.ca/,,51.29634,-116.9592649,250-344-2113,,"#102 1115 9th Street S, Golden, BC",20180601223150,,137,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,137,1628042.6010000005,738248.9729999993
Harvest of Hope Food Bank,Food; Food Bank,5-682 Gibsons Way,Gibsons,PO Box 1625,V0N 1V0,,,49.4070135,-123.5073615,604-886-3665,604-886-3683,"5-682 Gibsons Way, Gibsons, BC",20180601223150,,174,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,174,1180995.6450000003,491040.6840000041
